1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_number,track_name,album_name,album_release_date,album_release_year,song_word_count
72,0.904,0.611,1,-6.842,0,0.0888,0.000259,0,0.0976,0.427,150.02,177000,4,8,HUMBLE.,DAMN.,2017-04-14,2017,657
31,0.658,0.649,1,-7.582,1,0.255,0.000626,0,0.236,0.667,154.071,212653,4,3,Backseat Freestyle,"good kid, m.A.A.d city",2012,2012,578
66,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.379,139.931,185947,4,2,DNA.,DAMN.,2017-04-14,2017,766
43,0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.492,107.059,234693,4,3,King Kunta,To Pimp A Butterfly,2015-03-16,2015,723
53,0.553,0.852,10,-4.08,0,0.305,0.00713,0,0.463,0.269,176.058,328827,4,13,The Blacker The Berry,To Pimp A Butterfly,2015-03-16,2015,933
30,0.581,0.694,1,-9.049,1,0.0853,0.0132,0,0.436,0.113,134.041,310720,4,2,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city",2012,2012,787
8,0.613,0.843,7,-8.343,1,0.186,0.0152,0,0.0917,0.332,102.968,265679,4,8,Barbed Wire,Overly Dedicated,2010-09-14,2010,643
19,0.424,0.828,1,-4.991,0,0.335,0.0152,0,0.389,0.297,167.469,216900,4,7,Ronald Reagan Era,Section.80,2011-07-02,2011,515
70,0.681,0.541,9,-8.926,0,0.055,0.0224,0,0.167,0.424,110.803,227360,4,6,LOYALTY. FEAT. RIHANNA.,DAMN.,2017-04-14,2017,553
39,0.633,0.461,1,-12.235,1,0.195,0.0288,0,0.655,0.182,99.934,443413,4,11,Real,"good kid, m.A.A.d city",2012,2012,1224
22,0.515,0.738,11,-6.391,0,0.215,0.0355,0.000373,0.287,0.526,135.772,75535,4,10,Chapter Ten,Section.80,2011-07-02,2011,110
77,0.696,0.565,0,-5.933,1,0.0892,0.0377,0,0.199,0.226,132.893,248827,4,13,GOD.,DAMN.,2017-04-14,2017,469
78,0.546,0.728,0,-6.908,1,0.632,0.0479,0,0.266,0.63,177.008,248613,4,14,DUCKWORTH.,DAMN.,2017-04-14,2017,667
21,0.596,0.783,0,-4.356,0,0.0313,0.0506,0,0.181,0.341,127.018,320957,4,9,The Spiteful Chant,Section.80,2011-07-02,2011,768
36,0.45,0.721,10,-6.809,1,0.322,0.0548,0,0.455,0.224,181.656,350120,4,8,m.A.A.d city,"good kid, m.A.A.d city",2012,2012,1148
35,0.448,0.831,5,-8.557,0,0.324,0.0659,0,0.183,0.402,176.124,214120,4,7,good kid,"good kid, m.A.A.d city",2012,2012,570
47,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.561,110.034,219333,4,7,Alright,To Pimp A Butterfly,2015-03-16,2015,710
33,0.739,0.53,4,-7.386,0,0.106,0.0745,0,0.219,0.384,144.121,386907,4,5,Money Trees,"good kid, m.A.A.d city",2012,2012,985
40,0.33,0.912,1,-4.418,0,0.408,0.0746,0,0.382,0.225,169.81,248093,4,12,Compton,"good kid, m.A.A.d city",2012,2012,617
6,0.713,0.803,9,-5.311,1,0.287,0.0759,0,0.129,0.518,153.987,350699,4,6,Michael Jordan,Overly Dedicated,2010-09-14,2010,1066
11,0.685,0.681,8,-7.176,1,0.481,0.077,0,0.129,0.611,82.982,364104,4,11,Cut You Off (To Grow Closer),Overly Dedicated,2010-09-14,2010,798
71,0.672,0.546,4,-6.992,0,0.0519,0.0864,0,0.152,0.399,138.887,275253,4,7,PRIDE.,DAMN.,2017-04-14,2017,479
62,0.667,0.558,4,-11.341,0,0.0433,0.0992,0,0.225,0.647,89.179,208013,4,6,untitled 06 | 06.30.2014.,untitled unmastered.,2016-03-04,2016,442
10,0.613,0.591,2,-8.58,1,0.391,0.105,0,0.191,0.364,77.124,316976,4,10,H.O.C,Overly Dedicated,2010-09-14,2010,546
45,0.752,0.489,1,-5.233,1,0.137,0.11,0,0.202,0.368,108.005,300973,4,5,These Walls,To Pimp A Butterfly,2015-03-16,2015,700
44,0.539,0.731,3,-5.085,0,0.453,0.112,0,0.129,0.562,81.114,271773,4,4,Institutionalized,To Pimp A Butterfly,2015-03-16,2015,665
27,0.471,0.839,5,-6.852,0,0.379,0.116,0,0.658,0.643,115.79,350002,4,15,Ab-Souls Outro,Section.80,2011-07-02,2011,816
65,0.353,0.245,8,-16.69,0,0.194,0.125,0.153,0.491,0.488,157.331,118067,4,1,BLOOD.,DAMN.,2017-04-14,2017,154
37,0.676,0.491,11,-7.779,0,0.427,0.126,0,0.609,0.237,147.999,313787,4,9,Swimming Pools (Drank) - Extended Version,"good kid, m.A.A.d city",2012,2012,857
50,0.731,0.661,6,-6.562,0,0.376,0.145,0,0.12,0.363,87.912,292520,4,10,Hood Politics,To Pimp A Butterfly,2015-03-16,2015,849
75,0.65,0.618,8,-6.975,1,0.357,0.148,0,0.11,0.295,129.989,254200,4,11,XXX. FEAT. U2.,DAMN.,2017-04-14,2017,626
34,0.778,0.558,6,-9.997,0,0.379,0.151,0,0.249,0.638,135.949,300160,4,6,Poetic Justice,"good kid, m.A.A.d city",2012,2012,957
69,0.731,0.795,9,-8.347,0,0.356,0.164,0,0.142,0.516,109.897,214827,4,5,FEEL.,DAMN.,2017-04-14,2017,565
28,0.695,0.827,6,-5.742,0,0.282,0.179,0,0.283,0.544,81.024,279855,4,16,HiiiPower,Section.80,2011-07-02,2011,717
73,0.651,0.562,3,-9.431,0,0.515,0.198,0,0.108,0.587,94.011,307880,4,9,LUST.,DAMN.,2017-04-14,2017,786
68,0.734,0.687,4,-4.728,0,0.476,0.22,0,0.215,0.478,189.791,208733,4,4,ELEMENT.,DAMN.,2017-04-14,2017,666
24,0.52,0.807,2,-6.281,1,0.409,0.24,0.00257,0.199,0.615,178.012,168591,4,12,Rigamortus,Section.80,2011-07-02,2011,631
64,0.843,0.527,11,-9.661,0,0.211,0.242,0,0.137,0.672,119.987,235507,4,8,untitled 08 | 09.06.2014.,untitled unmastered.,2016-03-04,2016,680
9,0.74,0.733,9,-3.343,0,0.248,0.243,0,0.184,0.221,91.603,256048,4,9,Average Joe,Overly Dedicated,2010-09-14,2010,639
49,0.615,0.743,1,-4.58,1,0.325,0.254,0,0.665,0.511,111.914,283120,5,9,Momma,To Pimp A Butterfly,2015-03-16,2015,836
46,0.406,0.798,11,-5.585,0,0.432,0.26,0,0.461,0.57,71.547,268493,4,6,u,To Pimp A Butterfly,2015-03-16,2015,634
38,0.552,0.758,11,-7.643,1,0.529,0.289,0,0.147,0.354,70.28,723573,3,10,"Sing About Me, I'm Dying Of Thirst","good kid, m.A.A.d city",2012,2012,2098
